condition,population,successes,worlds,jsr,wilson_95_low,wilson_95_high,family
historical_phi4_4bit_cself,family-descriptive,0,12,0.0,2.7755575615628914e-17,0.24249400665524085,causal_ambiguity
historical_phi4_4bit_cself,family-descriptive,0,12,0.0,2.7755575615628914e-17,0.24249400665524085,coordinate_transform
historical_phi4_4bit_cself,family-descriptive,0,12,0.0,2.7755575615628914e-17,0.24249400665524085,hidden_regimes
historical_phi4_4bit_cself,family-descriptive,0,12,0.0,2.7755575615628914e-17,0.24249400665524085,latent_common_cause
historical_phi4_4bit_cself,family-descriptive,0,12,0.0,2.7755575615628914e-17,0.24249400665524085,meta_law
historical_phi4_4bit_cself,family-descriptive,0,12,0.0,2.7755575615628914e-17,0.24249400665524085,property_to_relation
historical_phi4_4bit_cself,family-descriptive,0,12,0.0,2.7755575615628914e-17,0.24249400665524085,state_invention
historical_phi4_4bit_cself,family-descriptive,0,12,0.0,2.7755575615628914e-17,0.24249400665524085,unification
phi4_4bit_budget_cself,family-descriptive,0,12,0.0,2.7755575615628914e-17,0.24249400665524085,causal_ambiguity
phi4_4bit_budget_cself,family-descriptive,0,12,0.0,2.7755575615628914e-17,0.24249400665524085,coordinate_transform
phi4_4bit_budget_cself,family-descriptive,0,12,0.0,2.7755575615628914e-17,0.24249400665524085,hidden_regimes
phi4_4bit_budget_cself,family-descriptive,0,12,0.0,2.7755575615628914e-17,0.24249400665524085,latent_common_cause
phi4_4bit_budget_cself,family-descriptive,0,12,0.0,2.7755575615628914e-17,0.24249400665524085,meta_law
phi4_4bit_budget_cself,family-descriptive,0,12,0.0,2.7755575615628914e-17,0.24249400665524085,property_to_relation
phi4_4bit_budget_cself,family-descriptive,0,12,0.0,2.7755575615628914e-17,0.24249400665524085,state_invention
phi4_4bit_budget_cself,family-descriptive,0,12,0.0,2.7755575615628914e-17,0.24249400665524085,unification
phi8_cself,family-descriptive,0,12,0.0,2.7755575615628914e-17,0.24249400665524085,causal_ambiguity
phi8_cself,family-descriptive,0,12,0.0,2.7755575615628914e-17,0.24249400665524085,coordinate_transform
phi8_cself,family-descriptive,0,12,0.0,2.7755575615628914e-17,0.24249400665524085,hidden_regimes
phi8_cself,family-descriptive,0,12,0.0,2.7755575615628914e-17,0.24249400665524085,latent_common_cause
phi8_cself,family-descriptive,0,12,0.0,2.7755575615628914e-17,0.24249400665524085,meta_law
phi8_cself,family-descriptive,0,12,0.0,2.7755575615628914e-17,0.24249400665524085,property_to_relation
phi8_cself,family-descriptive,0,12,0.0,2.7755575615628914e-17,0.24249400665524085,state_invention
phi8_cself,family-descriptive,0,12,0.0,2.7755575615628914e-17,0.24249400665524085,unification
deepseek_matched_cself,family-descriptive,0,12,0.0,2.7755575615628914e-17,0.24249400665524085,causal_ambiguity
deepseek_matched_cself,family-descriptive,0,12,0.0,2.7755575615628914e-17,0.24249400665524085,coordinate_transform
