source,population,policy,worlds,successes,jsr,wilson_95_low,wilson_95_high
C3,heldout,aligned,100,100,1.0,0.9630065017930143,1.0
C3,heldout,mask_signature:bound_relation,100,100,1.0,0.9630065017930143,1.0
C3,heldout,mask_signature:multi_argument_function,100,100,1.0,0.9630065017930143,1.0
C3,heldout,mask_signature:relation_arity_3,100,0,0.0,3.469446951953614e-18,0.03699349820698568
C3,heldout,mask_signature:self_composed_function,100,100,1.0,0.9630065017930143,1.0
C3,heldout,mask_signature:shared_rule_binding,100,100,1.0,0.9630065017930143,1.0
C3,heldout,mask_signature:temporally_indexed_recurrence,100,100,1.0,0.9630065017930143,1.0
C3,heldout,mask_signature:unobserved_dependency,100,100,1.0,0.9630065017930143,1.0
C3,heldout,mask_signature:unobserved_selector,100,100,1.0,0.9630065017930143,1.0
C3,heldout,motif_disabled,100,0,0.0,3.469446951953614e-18,0.03699349820698568
C3,heldout,role_action_blind_binding,100,100,1.0,0.9630065017930143,1.0
C3,known,aligned,400,400,1.0,0.9904877056657034,0.9999999999999999
C3,known,mask_signature:bound_relation,400,350,0.875,0.8389809024860414,0.9038848767632363
C3,known,mask_signature:multi_argument_function,400,350,0.875,0.8389809024860414,0.9038848767632363
C3,known,mask_signature:relation_arity_3,400,400,1.0,0.9904877056657034,0.9999999999999999
C3,known,mask_signature:self_composed_function,400,350,0.875,0.8389809024860414,0.9038848767632363
C3,known,mask_signature:shared_rule_binding,400,400,1.0,0.9904877056657034,0.9999999999999999
C3,known,mask_signature:temporally_indexed_recurrence,400,350,0.875,0.8389809024860414,0.9038848767632363
C3,known,mask_signature:unobserved_dependency,400,300,0.75,0.7053228670693259,0.7899209857635259
C3,known,mask_signature:unobserved_selector,400,350,0.875,0.8389809024860414,0.9038848767632363
C3,known,motif_disabled,400,0,0.0,8.673617379884035e-19,0.009512294334296508
C3,known,role_action_blind_binding,400,347,0.8675,0.8307536803033191,0.897254783360973
C_rand,heldout,aligned,100,13,0.13,0.07757167427240512,0.20980351440076428
C_rand,heldout,mask_signature:bound_relation,100,13,0.13,0.07757167427240512,0.20980351440076428
C_rand,heldout,mask_signature:multi_argument_function,100,13,0.13,0.07757167427240512,0.20980351440076428
C_rand,heldout,mask_signature:relation_arity_3,100,0,0.0,3.469446951953614e-18,0.03699349820698568
C_rand,heldout,mask_signature:self_composed_function,100,13,0.13,0.07757167427240512,0.20980351440076428
C_rand,heldout,mask_signature:shared_rule_binding,100,13,0.13,0.07757167427240512,0.20980351440076428
C_rand,heldout,mask_signature:temporally_indexed_recurrence,100,13,0.13,0.07757167427240512,0.20980351440076428
C_rand,heldout,mask_signature:unobserved_dependency,100,13,0.13,0.07757167427240512,0.20980351440076428
C_rand,heldout,mask_signature:unobserved_selector,100,13,0.13,0.07757167427240512,0.20980351440076428
C_rand,heldout,motif_disabled,100,0,0.0,3.469446951953614e-18,0.03699349820698568
C_rand,heldout,role_action_blind_binding,100,13,0.13,0.07757167427240512,0.20980351440076428
C_rand,known,aligned,400,52,0.13,0.10053125228664084,0.1665078455207386
C_rand,known,mask_signature:bound_relation,400,19,0.0475,0.030617076962711882,0.07299154940982647
C_rand,known,mask_signature:multi_argument_function,400,40,0.1,0.07429925914003437,0.13331057632740284
C_rand,known,mask_signature:relation_arity_3,400,52,0.13,0.10053125228664084,0.1665078455207386
C_rand,known,mask_signature:self_composed_function,400,46,0.115,0.0873329226216324,0.1499915440157759
C_rand,known,mask_signature:shared_rule_binding,400,52,0.13,0.10053125228664084,0.1665078455207386
C_rand,known,mask_signature:temporally_indexed_recurrence,400,52,0.13,0.10053125228664084,0.1665078455207386
C_rand,known,mask_signature:unobserved_dependency,400,52,0.13,0.10053125228664084,0.1665078455207386
C_rand,known,mask_signature:unobserved_selector,400,51,0.1275,0.0983211891565858,0.1637654701224651
C_rand,known,motif_disabled,400,0,0.0,8.673617379884035e-19,0.009512294334296508
C_rand,known,role_action_blind_binding,400,57,0.1425,0.1116383145426319,0.18016297590639008
DeepSeek_grammar,fixed_known_panel,aligned,96,15,0.15625,0.09703709990686579,0.24191486674528626
DeepSeek_grammar,fixed_known_panel,mask_signature:bound_relation,96,15,0.15625,0.09703709990686579,0.24191486674528626
DeepSeek_grammar,fixed_known_panel,mask_signature:multi_argument_function,96,0,0.0,3.469446951953614e-18,0.038475587857675686
DeepSeek_grammar,fixed_known_panel,mask_signature:relation_arity_3,96,15,0.15625,0.09703709990686579,0.24191486674528626
DeepSeek_grammar,fixed_known_panel,mask_signature:self_composed_function,96,15,0.15625,0.09703709990686579,0.24191486674528626
DeepSeek_grammar,fixed_known_panel,mask_signature:shared_rule_binding,96,15,0.15625,0.09703709990686579,0.24191486674528626
DeepSeek_grammar,fixed_known_panel,mask_signature:temporally_indexed_recurrence,96,15,0.15625,0.09703709990686579,0.24191486674528626
DeepSeek_grammar,fixed_known_panel,mask_signature:unobserved_dependency,96,15,0.15625,0.09703709990686579,0.24191486674528626
DeepSeek_grammar,fixed_known_panel,mask_signature:unobserved_selector,96,15,0.15625,0.09703709990686579,0.24191486674528626
DeepSeek_grammar,fixed_known_panel,motif_disabled,96,0,0.0,3.469446951953614e-18,0.038475587857675686
DeepSeek_grammar,fixed_known_panel,role_action_blind_binding,96,8,0.08333333333333333,0.04283062415096722,0.15589903239709585
