source,policy,unit,stage,passed,denominator,rate
C3,aligned,archived_candidate_slot,J0,1500,1500,1.0
C3,aligned,archived_candidate_slot,J1,1300,1500,0.8666666666666667
C3,aligned,archived_candidate_slot,J2,1018,1500,0.6786666666666666
C3,aligned,archived_candidate_slot,J3,600,1500,0.4
C3,aligned,archived_candidate_slot,J4,550,1500,0.36666666666666664
C3,aligned,archived_candidate_slot,J5,550,1500,0.36666666666666664
C3,mask_signature:bound_relation,archived_candidate_slot,J0,1500,1500,1.0
C3,mask_signature:bound_relation,archived_candidate_slot,J1,1350,1500,0.9
C3,mask_signature:bound_relation,archived_candidate_slot,J2,1100,1500,0.7333333333333333
C3,mask_signature:bound_relation,archived_candidate_slot,J3,500,1500,0.3333333333333333
C3,mask_signature:bound_relation,archived_candidate_slot,J4,500,1500,0.3333333333333333
C3,mask_signature:bound_relation,archived_candidate_slot,J5,500,1500,0.3333333333333333
C3,mask_signature:multi_argument_function,archived_candidate_slot,J0,1500,1500,1.0
C3,mask_signature:multi_argument_function,archived_candidate_slot,J1,1300,1500,0.8666666666666667
C3,mask_signature:multi_argument_function,archived_candidate_slot,J2,1018,1500,0.6786666666666666
C3,mask_signature:multi_argument_function,archived_candidate_slot,J3,500,1500,0.3333333333333333
C3,mask_signature:multi_argument_function,archived_candidate_slot,J4,450,1500,0.3
C3,mask_signature:multi_argument_function,archived_candidate_slot,J5,450,1500,0.3
C3,mask_signature:relation_arity_3,archived_candidate_slot,J0,1500,1500,1.0
C3,mask_signature:relation_arity_3,archived_candidate_slot,J1,1200,1500,0.8
C3,mask_signature:relation_arity_3,archived_candidate_slot,J2,918,1500,0.612
C3,mask_signature:relation_arity_3,archived_candidate_slot,J3,500,1500,0.3333333333333333
C3,mask_signature:relation_arity_3,archived_candidate_slot,J4,450,1500,0.3
C3,mask_signature:relation_arity_3,archived_candidate_slot,J5,450,1500,0.3
C3,mask_signature:self_composed_function,archived_candidate_slot,J0,1500,1500,1.0
C3,mask_signature:self_composed_function,archived_candidate_slot,J1,1350,1500,0.9
C3,mask_signature:self_composed_function,archived_candidate_slot,J2,1186,1500,0.7906666666666666
C3,mask_signature:self_composed_function,archived_candidate_slot,J3,550,1500,0.36666666666666664
C3,mask_signature:self_composed_function,archived_candidate_slot,J4,500,1500,0.3333333333333333
C3,mask_signature:self_composed_function,archived_candidate_slot,J5,500,1500,0.3333333333333333
C3,mask_signature:shared_rule_binding,archived_candidate_slot,J0,1500,1500,1.0
C3,mask_signature:shared_rule_binding,archived_candidate_slot,J1,1300,1500,0.8666666666666667
C3,mask_signature:shared_rule_binding,archived_candidate_slot,J2,1018,1500,0.6786666666666666
C3,mask_signature:shared_rule_binding,archived_candidate_slot,J3,550,1500,0.36666666666666664
C3,mask_signature:shared_rule_binding,archived_candidate_slot,J4,500,1500,0.3333333333333333
C3,mask_signature:shared_rule_binding,archived_candidate_slot,J5,500,1500,0.3333333333333333
C3,mask_signature:temporally_indexed_recurrence,archived_candidate_slot,J0,1500,1500,1.0
C3,mask_signature:temporally_indexed_recurrence,archived_candidate_slot,J1,1300,1500,0.8666666666666667
C3,mask_signature:temporally_indexed_recurrence,archived_candidate_slot,J2,1018,1500,0.6786666666666666
C3,mask_signature:temporally_indexed_recurrence,archived_candidate_slot,J3,550,1500,0.36666666666666664
