source,comparison,worlds,both_fail,aligned_only,counterfactual_only,both_pass,paired_jsr_difference
C3,aligned_vs_mask_signature:bound_relation,500,0,50,0,450,-0.1
C3,aligned_vs_mask_signature:multi_argument_function,500,0,50,0,450,-0.1
C3,aligned_vs_mask_signature:relation_arity_3,500,0,100,0,400,-0.2
C3,aligned_vs_mask_signature:self_composed_function,500,0,50,0,450,-0.1
C3,aligned_vs_mask_signature:shared_rule_binding,500,0,0,0,500,0.0
C3,aligned_vs_mask_signature:temporally_indexed_recurrence,500,0,50,0,450,-0.1
C3,aligned_vs_mask_signature:unobserved_dependency,500,0,100,0,400,-0.2
C3,aligned_vs_mask_signature:unobserved_selector,500,0,50,0,450,-0.1
C3,aligned_vs_motif_disabled,500,0,500,0,0,-1.0
C3,aligned_vs_role_action_blind_binding,500,0,53,0,447,-0.106
C_rand,aligned_vs_mask_signature:bound_relation,500,435,33,0,32,-0.066
C_rand,aligned_vs_mask_signature:multi_argument_function,500,435,12,0,53,-0.024
C_rand,aligned_vs_mask_signature:relation_arity_3,500,435,13,0,52,-0.026
C_rand,aligned_vs_mask_signature:self_composed_function,500,435,6,0,59,-0.012
C_rand,aligned_vs_mask_signature:shared_rule_binding,500,435,0,0,65,0.0
C_rand,aligned_vs_mask_signature:temporally_indexed_recurrence,500,435,0,0,65,0.0
C_rand,aligned_vs_mask_signature:unobserved_dependency,500,435,0,0,65,0.0
C_rand,aligned_vs_mask_signature:unobserved_selector,500,435,1,0,64,-0.002
C_rand,aligned_vs_motif_disabled,500,435,65,0,0,-0.13
C_rand,aligned_vs_role_action_blind_binding,500,420,10,15,55,0.01
DeepSeek_grammar,aligned_vs_mask_signature:bound_relation,96,81,0,0,15,0.0
DeepSeek_grammar,aligned_vs_mask_signature:multi_argument_function,96,81,15,0,0,-0.15625
DeepSeek_grammar,aligned_vs_mask_signature:relation_arity_3,96,81,0,0,15,0.0
DeepSeek_grammar,aligned_vs_mask_signature:self_composed_function,96,81,0,0,15,0.0
DeepSeek_grammar,aligned_vs_mask_signature:shared_rule_binding,96,81,0,0,15,0.0
DeepSeek_grammar,aligned_vs_mask_signature:temporally_indexed_recurrence,96,81,0,0,15,0.0
DeepSeek_grammar,aligned_vs_mask_signature:unobserved_dependency,96,81,0,0,15,0.0
DeepSeek_grammar,aligned_vs_mask_signature:unobserved_selector,96,81,0,0,15,0.0
DeepSeek_grammar,aligned_vs_motif_disabled,96,81,15,0,0,-0.15625
DeepSeek_grammar,aligned_vs_role_action_blind_binding,96,81,7,0,8,-0.07291666666666667
