source,policy,family,worlds,successes,jsr,wilson_95_low,wilson_95_high
C3,aligned,causal_ambiguity,50,50,1.0,0.9286524008666414,1.0
C3,aligned,coordinate_transform,50,50,1.0,0.9286524008666414,1.0
C3,aligned,hidden_regimes,50,50,1.0,0.9286524008666414,1.0
C3,aligned,latent_common_cause,50,50,1.0,0.9286524008666414,1.0
C3,aligned,meta_law,50,50,1.0,0.9286524008666414,1.0
C3,aligned,property_to_relation,50,50,1.0,0.9286524008666414,1.0
C3,aligned,state_invention,50,50,1.0,0.9286524008666414,1.0
C3,aligned,triadic_relation_reification,100,100,1.0,0.9630065017930143,1.0
C3,aligned,unification,50,50,1.0,0.9286524008666414,1.0
C3,mask_signature:bound_relation,causal_ambiguity,50,50,1.0,0.9286524008666414,1.0
C3,mask_signature:bound_relation,coordinate_transform,50,50,1.0,0.9286524008666414,1.0
C3,mask_signature:bound_relation,hidden_regimes,50,50,1.0,0.9286524008666414,1.0
C3,mask_signature:bound_relation,latent_common_cause,50,50,1.0,0.9286524008666414,1.0
C3,mask_signature:bound_relation,meta_law,50,50,1.0,0.9286524008666414,1.0
C3,mask_signature:bound_relation,property_to_relation,50,0,0.0,6.938893903907228e-18,0.07134759913335872
C3,mask_signature:bound_relation,state_invention,50,50,1.0,0.9286524008666414,1.0
C3,mask_signature:bound_relation,triadic_relation_reification,100,100,1.0,0.9630065017930143,1.0
C3,mask_signature:bound_relation,unification,50,50,1.0,0.9286524008666414,1.0
C3,mask_signature:multi_argument_function,causal_ambiguity,50,50,1.0,0.9286524008666414,1.0
C3,mask_signature:multi_argument_function,coordinate_transform,50,50,1.0,0.9286524008666414,1.0
C3,mask_signature:multi_argument_function,hidden_regimes,50,50,1.0,0.9286524008666414,1.0
C3,mask_signature:multi_argument_function,latent_common_cause,50,50,1.0,0.9286524008666414,1.0
C3,mask_signature:multi_argument_function,meta_law,50,0,0.0,6.938893903907228e-18,0.07134759913335872
C3,mask_signature:multi_argument_function,property_to_relation,50,50,1.0,0.9286524008666414,1.0
C3,mask_signature:multi_argument_function,state_invention,50,50,1.0,0.9286524008666414,1.0
C3,mask_signature:multi_argument_function,triadic_relation_reification,100,100,1.0,0.9630065017930143,1.0
