source,detected_signature,candidate_slots,aligned_validated_candidates,aligned_validated_worlds
C3,bound_relation,332,50,50
C3,incumbent_basis,218,0,0
C3,multi_argument_function,100,100,100
C3,relation_arity_3,100,100,100
C3,self_composed_function,218,50,50
C3,shared_rule_binding,50,50,50
C3,temporally_indexed_recurrence,50,50,50
C3,unobserved_dependency,255,100,100
C3,unobserved_selector,177,50,50
C_rand,bound_relation,341,42,33
C_rand,incumbent_basis,1063,0,0
C_rand,multi_argument_function,12,12,12
C_rand,relation_arity_3,13,13,13
C_rand,self_composed_function,68,7,6
C_rand,unobserved_dependency,2,0,0
C_rand,unobserved_selector,1,1,1
DeepSeek_grammar,bound_relation,1,0,0
DeepSeek_grammar,incumbent_basis,266,0,0
DeepSeek_grammar,multi_argument_function,21,21,15
